Id,SalePrice
1461,126118.71305320304
1462,150324.0164453749
1463,179444.32757178586
1464,179318.07530967038
1465,192289.71489766877
1466,180792.3813065652
1467,178845.08891317886
1468,170035.136724389
1469,193249.989731348
1470,127150.58560309453
1471,186952.42975858488
1472,98520.66144040863
1473,105889.56721822065
1474,150209.23621646207
1475,126462.72478631775
1476,361493.4518995647
1477,253640.00236878442
1478,307116.0663847093
1479,295596.2049831514
1480,484752.1130543117
1481,315412.5375999575
1482,203798.59535542765
1483,182540.15150091692
1484,172300.64779702463
1485,183724.1187934045
1486,193388.6109694604
1487,341637.74538615986
1488,239188.13520423212
1489,195420.76859805625
1490,228391.30544046202
1491,194859.97734615844
1492,97826.01053301137
1493,174781.96383229535
1494,288021.2851599817
1495,295887.59314147284
1496,255072.8848880891
1497,181221.0792055492
1498,169285.242829359
1499,168720.47517875474
1500,160831.38184837144
1501,164002.10933498185
1502,166198.270817316
1503,271392.49407199665
1504,235739.9680976037
1505,225671.4384168748
1506,192785.65423510122
1507,267712.02923766425
1508,218712.66113868996
1509,164032.2597558264
1510,152289.13323996108
1511,147541.1205332045
1512,169091.3255036835
1513,135930.02741501373
1514,154599.67096844953
1515,208348.14383403104
1516,146933.04165033143
1517,155697.34735552114
1518,136374.57278207582
1519,195381.32829508826
1520,138043.53356764358
1521,139828.92062876266
1522,169119.20102170747
1523,114672.81964526216
1524,125549.73205885927
1525,124696.8061326508
1526,116755.20409444613
1527,109775.465921915
1528,121846.47552648824
1529,149982.02003405135
1530,169642.63014034074
1531,110543.74859420101
1532,104328.93070188802
1533,144691.87024424114
1534,117040.9624265794
1535,156917.0541181926
1536,120375.69219259065
1537,89860.28632417959
1538,168023.7385958795
1539,232655.14220706266
1540,109239.22508040706
1541,133017.16255275052
1542,141389.70501122516
1543,200515.72279158872
1544,93409.5144306783
1545,116390.54517606537
1546,124494.98290578168
1547,133350.27540973466
1548,125727.35683528225
1549,120879.03139833252
1550,137243.45397177976
1551,117259.18285146992
1552,149321.29188052454
1553,170712.5282012586
1554,113252.72322169587
1555,172578.26686147493
1556,109764.93484345717
1557,108761.17211953443
1558,109206.66377404971
1559,117343.61650840085
1560,136067.80317500868
1561,139439.58944717687
1562,128739.91393230006
1563,121878.73327765506
1564,163358.03994420805
1565,141009.0365771417
1566,244564.62320212173
1567,73346.54287401479
1568,216210.47915068906
1569,144614.41727200788
1570,143186.9526352052
1571,122307.81242696088
1572,135401.5006497864
1573,230766.3998839025
1574,119865.00944457095
1575,230896.9781681661
1576,217889.96699897086
1577,191881.8874095444
1578,142548.2540597085
1579,146310.53046927493
1580,191727.9285868768
1581,153652.52806887668
1582,125558.82744917912
1583,331573.25150100037
1584,225897.81392661372
1585,149159.77361921113
1586,74493.68329540532
1587,103312.73800871414
1588,152781.00573847335
1589,96601.50525537769
1590,134123.36748842042
1591,89218.02700648349
1592,128618.56961790365
1593,131912.50740400597
1594,178686.56616619867
1595,124521.36437324328
1596,248483.2368239526
1597,182730.6793002252
1598,201324.38790319007
